board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,answer,numberOfNodes,correct,exploredNodes
10_medium_full,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,50,53,0,"[[0.0, 0.0, 0.008333333333333333, 0.008333333333333333, 0.008333333333333333, 0.0, 0.008333333333333333, 0.008333333333333333, 0.0, 0.0], [0.0, 0.0, 0.025, 0.008333333333333333, 0.0, 0.008333333333333333, 0.0, 0.008333333333333333, 0.0, 0.0], [0.008333333333333333, 0.008333333333333333, -1e-05, 0.03333333333333333, 0.008333333333333333, -2e-05, 0.0, 0.008333333333333333, 0.0, 0.0], [0.06666666666666667, 0.025, 0.03333333333333333, -1e-05, -1e-05, 0.008333333333333333, 0.008333333333333333, 0.008333333333333333, 0.008333333333333333, 0.0], [0.008333333333333333, 0.075, 0.016666666666666666, 0.03333333333333333, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.008333333333333333], [0.0, 0.025, 0.008333333333333333, 0.03333333333333333, 0.025, -1e-05, -2e-05, -2e-05, 0.008333333333333333, 0.0], [0.008333333333333333, 0.025, 0.025, -1e-05, 0.008333333333333333, -2e-05, 0.008333333333333333, 0.008333333333333333, 0.0, 0.0], [0.025, 0.03333333333333333, 0.03333333333333333, 0.05, -1e-05, -1e-05, 0.03333333333333333, 0.03333333333333333, 0.025, 0.008333333333333333], [0.0, 0.008333333333333333, 0.008333333333333333, 0.008333333333333333, 0.008333333333333333, -1e-05, 0.008333333333333333, 0.008333333333333333, 0.008333333333333333, 0.008333333333333333], [0.008333333333333333, 0.008333333333333333, 0.0, 0.008333333333333333, 0.008333333333333333, 0.0, -2e-05, 0.008333333333333333, 0.0, 0.008333333333333333]]"
10_medium_pruned,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,50,63,0,"[[0.0, 0.0, 0.014492753623188406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.028985507246376812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.014492753623188406, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.028985507246376812, 0.6811594202898551, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.043478260869565216, 0.028985507246376812, 0.014492753623188406, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.014492753623188406, 0.014492753623188406, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.028985507246376812, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.014492753623188406, 0.014492753623188406, 0.014492753623188406, -1e-05, -1e-05, 0.014492753623188406, 0.014492753623188406, 0.014492753623188406, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
6_easy_full,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,50,26,0,"[[0.015873015873015872, -1e-05, 0.031746031746031744, -2e-05, 0.015873015873015872, 0.015873015873015872], [0.015873015873015872, -2e-05, -1e-05, -1e-05, 0.2857142857142857, 0.30158730158730157], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.015873015873015872], [-2e-05, 0.015873015873015872, -1e-05, -1e-05, -2e-05, 0.14285714285714285], [-1e-05, 0.015873015873015872, -2e-05, -2e-05, 0.015873015873015872, 0.015873015873015872], [0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872]]"
6_easy_pruned,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,50,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.32653061224489793], [0.0, -2e-05, -1e-05, -1e-05, 0.3673469387755102, 0.08163265306122448], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08163265306122448], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.08163265306122448], [0.0, 0.0, 0.0, 0.0, 0.0, 0.061224489795918366]]"
6_hard_full,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,50,34,0,"[[0.028169014084507043, -2e-05, 0.028169014084507043, 0.028169014084507043, -1e-05, 0.028169014084507043], [0.028169014084507043, -2e-05, -1e-05, -2e-05, 0.323943661971831, 0.028169014084507043], [0.028169014084507043, -1e-05, 0.014084507042253521, 0.014084507042253521, 0.028169014084507043, 0.028169014084507043], [0.028169014084507043, -1e-05, 0.04225352112676056, -2e-05, 0.028169014084507043, 0.028169014084507043], [0.028169014084507043, -1e-05, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043], [0.04225352112676056, -2e-05, 0.028169014084507043, 0.028169014084507043, -2e-05, 0.028169014084507043]]"
6_hard_pruned,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,50,34,0,"[[0.012345679012345678, -2e-05, 0.49382716049382713, -1e-05, -1e-05, 0.06172839506172839], [0.024691358024691357, -2e-05, -1e-05, -2e-05, 0.04938271604938271, 0.012345679012345678], [0.024691358024691357, -1e-05, 0.012345679012345678, 0.012345679012345678, 0.024691358024691357, 0.012345679012345678], [-2e-05, -1e-05, 0.024691358024691357, -2e-05, 0.024691358024691357, 0.012345679012345678], [0.024691358024691357, -1e-05, 0.024691358024691357, 0.024691358024691357, 0.024691358024691357, 0.024691358024691357], [0.024691358024691357, -2e-05, 0.012345679012345678, 0.024691358024691357, -2e-05, 0.012345679012345678]]"
10_easy_full,paths_non-linear_full_interaction,paths,False,True,2,full,2,False,50,45,0,"[[0.007692307692307693, 0.007692307692307693, 0.011538461538461539, 0.011538461538461539, -1e-05, 0.015384615384615385, -2e-05, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385], [0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, -2e-05, -1e-05, -1e-05, -1e-05, 0.015384615384615385, 0.015384615384615385], [0.015384615384615385, 0.015384615384615385, 0.015384615384615385, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.015384615384615385, 0.015384615384615385], [0.015384615384615385, 0.015384615384615385, 0.015384615384615385, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.015384615384615385, 0.015384615384615385, -1e-05, 0.015384615384615385, -2e-05, -2e-05, 0.015384615384615385, 0.015384615384615385, 0.0038461538461538464], [-1e-05, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385], [-1e-05, -1e-05, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385], [-2e-05, -2e-05, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, -1e-05, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385], [0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, -1e-05, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385], [0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.0038461538461538464, -2e-05, -2e-05, -2e-05, 0.015384615384615385, 0.015384615384615385]]"
10_easy_pruned,paths_non-linear_full_interaction,paths,False,True,2,full,2,False,50,45,0,"[[0.010416666666666666, 0.010416666666666666, 0.015625, 0.015625, -1e-05, -2e-05, -2e-05, 0.015625, 0.015625, 0.015625], [0.015625, 0.015625, 0.015625, 0.015625, -2e-05, -1e-05, -1e-05, -1e-05, 0.015625, 0.005208333333333333], [0.015625, 0.015625, 0.015625, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.015625, 0.015625], [0.015625, 0.015625, 0.015625, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.015625, 0.015625, -1e-05, 0.015625, -2e-05, -2e-05, 0.015625, 0.015625, -1e-05], [-1e-05, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625], [-1e-05, -1e-05, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625], [-2e-05, -2e-05, 0.015625, 0.015625, 0.015625, 0.015625, -1e-05, 0.015625, 0.015625, 0.015625], [0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, -1e-05, 0.015625, 0.015625, 0.015625], [0.015625, 0.015625, 0.015625, 0.015625, 0.005208333333333333, -2e-05, -2e-05, -2e-05, 0.015625, 0.015625]]"
10_hard_full,paths_non-linear_full_interaction,paths,False,True,2,full,2,False,50,25,1,"[[0.005479452054794521, 0.005479452054794521, 0.00821917808219178, -2e-05, 0.00821917808219178, 0.010958904109589041, 0.010958904109589041, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -1e-05, 0.0136986301369863, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, -2e-05, -2e-05, 0.0136986301369863, 0.0027397260273972603, -1e-05, -1e-05, 0.0136986301369863, -2e-05, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, -2e-05, -1e-05, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, -1e-05, -1e-05, 0.0027397260273972603, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, -1e-05, -1e-05, 0.0136986301369863, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, -1e-05, 0.0136986301369863, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, -1e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, -2e-05, 0.0136986301369863, 0.0136986301369863, -2e-05, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -1e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863]]"
10_hard_pruned,paths_non-linear_full_interaction,paths,False,True,2,full,2,False,50,45,0,"[[0.006944444444444444, 0.010416666666666666, 0.010416666666666666, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, 0.013888888888888888, 0.013888888888888888, -1e-05, 0.013888888888888888, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, -2e-05, -2e-05, 0.013888888888888888, -1e-05, -1e-05, -1e-05, 0.013888888888888888, -2e-05, 0.013888888888888888], [0.013888888888888888, 0.013888888888888888, -2e-05, -1e-05, -2e-05, 0.006944444444444444, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, -1e-05, -1e-05, 0.003472222222222222, 0.003472222222222222, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, -1e-05, -1e-05, 0.013888888888888888, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [-2e-05, 0.013888888888888888, -1e-05, 0.013888888888888888, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, 0.013888888888888888, -1e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, 0.013888888888888888, -2e-05, 0.013888888888888888, 0.013888888888888888, -2e-05, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, -1e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888]]"
10_medium_full,paths_non-linear_full_interaction,paths,False,True,2,full,2,False,50,53,0,"[[0.006329113924050633, 0.00949367088607595, 0.00949367088607595, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266], [0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266], [0.012658227848101266, 0.012658227848101266, -1e-05, 0.012658227848101266, 0.006329113924050633, -2e-05, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266], [0.012658227848101266, 0.012658227848101266, 0.012658227848101266, -1e-05, -1e-05, 0.0031645569620253164, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266], [0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.012658227848101266], [0.012658227848101266, 0.012658227848101266, 0.0031645569620253164, 0.012658227848101266, 0.012658227848101266, -1e-05, -2e-05, -2e-05, 0.012658227848101266, 0.012658227848101266], [0.012658227848101266, 0.012658227848101266, 0.012658227848101266, -1e-05, 0.012658227848101266, -2e-05, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266], [0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, -1e-05, -1e-05, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266], [0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, -1e-05, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266], [0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266, -2e-05, 0.012658227848101266, 0.012658227848101266, 0.012658227848101266]]"
10_medium_pruned,paths_non-linear_full_interaction,paths,False,True,2,full,2,False,50,27,0,"[[0.008547008547008548, 0.008547008547008548, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282], [0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282], [0.01282051282051282, 0.01282051282051282, -1e-05, 0.01282051282051282, 0.004273504273504274, -2e-05, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282], [0.01282051282051282, 0.01282051282051282, -1e-05, -1e-05, -1e-05, -2e-05, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282], [0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.01282051282051282], [0.01282051282051282, 0.01282051282051282, 0.004273504273504274, 0.01282051282051282, 0.01282051282051282, -1e-05, -2e-05, -2e-05, 0.01282051282051282, 0.01282051282051282], [0.01282051282051282, 0.01282051282051282, 0.01282051282051282, -1e-05, 0.01282051282051282, -2e-05, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282], [0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, -1e-05, -1e-05, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282], [0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, -1e-05, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282], [0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, -2e-05, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282]]"
6_easy_full,paths_non-linear_full_interaction,paths,False,True,2,full,2,False,50,26,0,"[[0.020618556701030927, -1e-05, 0.010309278350515464, -2e-05, 0.020618556701030927, 0.041237113402061855], [0.061855670103092786, -2e-05, -1e-05, -1e-05, 0.07216494845360824, 0.08247422680412371], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08247422680412371], [-2e-05, 0.09278350515463918, -1e-05, -1e-05, -2e-05, 0.09278350515463918], [-1e-05, 0.010309278350515464, -2e-05, -2e-05, 0.05154639175257732, 0.05154639175257732], [0.05154639175257732, 0.05154639175257732, 0.05154639175257732, 0.05154639175257732, 0.05154639175257732, 0.05154639175257732]]"
6_easy_pruned,paths_non-linear_full_interaction,paths,False,True,2,full,2,False,50,26,0,"[[0.04819277108433735, -1e-05, -2e-05, -2e-05, 0.060240963855421686, 0.07228915662650602], [0.08433734939759036, -2e-05, -1e-05, -1e-05, 0.10843373493975904, 0.012048192771084338], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.060240963855421686], [-2e-05, 0.060240963855421686, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.012048192771084338, -2e-05, -2e-05, 0.060240963855421686, 0.060240963855421686], [0.060240963855421686, 0.060240963855421686, 0.060240963855421686, 0.060240963855421686, 0.060240963855421686, 0.060240963855421686]]"
6_hard_full,paths_non-linear_full_interaction,paths,False,True,2,full,2,False,50,16,0,"[[0.041666666666666664, -2e-05, 0.027777777777777776, 0.041666666666666664, -1e-05, 0.041666666666666664], [0.2916666666666667, -2e-05, -1e-05, -2e-05, 0.05555555555555555, 0.027777777777777776], [0.027777777777777776, -1e-05, 0.013888888888888888, 0.013888888888888888, 0.027777777777777776, 0.027777777777777776], [0.027777777777777776, -1e-05, 0.027777777777777776, -2e-05, 0.027777777777777776, 0.027777777777777776], [0.027777777777777776, -1e-05, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776], [0.027777777777777776, -2e-05, 0.027777777777777776, 0.027777777777777776, -2e-05, 0.027777777777777776]]"
6_hard_pruned,paths_non-linear_full_interaction,paths,False,True,2,full,2,False,50,34,0,"[[0.05970149253731343, -2e-05, 0.07462686567164178, -1e-05, -1e-05, 0.26865671641791045], [0.05970149253731343, -2e-05, -1e-05, -2e-05, 0.029850746268656716, 0.029850746268656716], [0.029850746268656716, -1e-05, 0.014925373134328358, 0.014925373134328358, 0.029850746268656716, 0.029850746268656716], [-2e-05, -1e-05, 0.029850746268656716, -2e-05, 0.029850746268656716, 0.029850746268656716], [0.029850746268656716, -1e-05, 0.029850746268656716, 0.029850746268656716, 0.029850746268656716, 0.029850746268656716], [0.029850746268656716, -2e-05, 0.029850746268656716, 0.029850746268656716, -2e-05, 0.029850746268656716]]"
10_easy_full,density,density,True,True,2,full,2,False,50,45,0,"[[0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -1e-05, 0.013574660633484163, -2e-05, 0.11312217194570136, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -2e-05, -1e-05, -1e-05, -1e-05, 0.00904977375565611, 0.01809954751131222], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.004524886877828055, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.013574660633484163, 0.013574660633484163, -1e-05, 0.004524886877828055, -2e-05, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [-1e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.00904977375565611, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [-1e-05, -1e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [-2e-05, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -1e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -1e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -2e-05, -2e-05, -2e-05, 0.013574660633484163, 0.013574660633484163]]"
10_easy_pruned,density,density,True,True,2,full,2,False,50,45,0,"[[0.015625, 0.015625, 0.015625, 0.015625, -1e-05, -2e-05, -2e-05, 0.015625, 0.015625, 0.015625], [0.015625, 0.015625, 0.015625, 0.015625, -2e-05, -1e-05, -1e-05, -1e-05, 0.010416666666666666, 0.015625], [0.015625, 0.015625, 0.015625, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.005208333333333333, 0.015625], [0.015625, 0.015625, 0.015625, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.015625, 0.015625, -1e-05, 0.005208333333333333, -2e-05, -2e-05, 0.015625, 0.015625, -1e-05], [-1e-05, 0.015625, 0.015625, 0.015625, 0.015625, 0.010416666666666666, 0.015625, 0.015625, 0.015625, 0.015625], [-1e-05, -1e-05, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625], [-2e-05, -2e-05, 0.015625, 0.015625, 0.015625, 0.015625, -1e-05, 0.015625, 0.015625, 0.015625], [0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, -1e-05, 0.015625, 0.015625, 0.015625], [0.015625, 0.015625, 0.015625, 0.015625, 0.015625, -2e-05, -2e-05, -2e-05, 0.015625, 0.015625]]"
10_hard_full,density,density,True,True,2,full,2,False,50,56,0,"[[0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, 0.005479452054794521, -1e-05, 0.00821917808219178, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, -2e-05, -2e-05, 0.0027397260273972603, 0.010958904109589041, -1e-05, -1e-05, 0.0136986301369863, -2e-05, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, -2e-05, -1e-05, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, -1e-05, -1e-05, 0.0027397260273972603, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, -1e-05, -1e-05, 0.005479452054794521, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.00821917808219178, -1e-05, 0.010958904109589041, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, -1e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, -2e-05, 0.0136986301369863, 0.0136986301369863, -2e-05, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -1e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863]]"
10_hard_pruned,density,density,True,True,2,full,2,False,50,44,0,"[[0.013888888888888888, 0.013888888888888888, 0.013888888888888888, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, 0.013888888888888888, 0.006944444444444444, -1e-05, 0.010416666666666666, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, -2e-05, -2e-05, 0.003472222222222222, -1e-05, -1e-05, -1e-05, 0.013888888888888888, -2e-05, 0.013888888888888888], [0.013888888888888888, 0.013888888888888888, -2e-05, -1e-05, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, -1e-05, -1e-05, 0.003472222222222222, 0.010416666666666666, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, -1e-05, -1e-05, 0.006944444444444444, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [-2e-05, 0.013888888888888888, -1e-05, 0.013888888888888888, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, 0.013888888888888888, -1e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, 0.013888888888888888, -2e-05, 0.013888888888888888, 0.013888888888888888, -2e-05, -2e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888], [0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, -1e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888]]"
